Overnight Menace 2: O
XX_O__X_O; O; {(0, 2): O: 99, (1, 1): O: 4, (1, 2): O: 1}
OX_OOXX_X; O; {(0, 2): O: 2, (2, 1): O: 1}
X_XOOX___; O; {(0, 1): O: 3, (2, 0): O: 2, (2, 1): O: 2, (2, 2): O: 3}
_X_O____X; O; {(1, 1): O: 78, (1, 2): O: 19, (2, 0): O: 1, (2, 1): O: 5}
_X_O_X_OX; O; {(0, 0): O: 3, (0, 2): O: 73, (1, 1): O: 2}
OX_XX___O; O; {(0, 2): O: 3, (1, 2): O: 3}
OX__XX__O; O; {(0, 2): O: 2, (1, 0): O: 2, (2, 0): O: 2}
XOX_OOX_X; O; {(1, 0): O: 15}
XX_O_O_X_; O; {(0, 2): O: 1, (1, 1): O: 24, (2, 0): O: 3, (2, 2): O: 1}
XOOX_O_XX; O; {(1, 1): O: 2}
_XXOOX___; O; {(0, 0): O: 1, (2, 0): O: 3, (2, 1): O: 2, (2, 2): O: 2}
_XX__OXO_; O; {(0, 0): O: 3, (1, 0): O: 2, (1, 1): O: 2, (2, 2): O: 1}
_X_OOX_X_; O; {(0, 0): O: 60, (0, 2): O: 3}
OX_X_O_X_; O; {(1, 1): O: 4929}
OX_XOOXX_; O; {(0, 2): O: 2, (2, 2): O: 27}
XX___O_OX; O; {(0, 2): O: 1, (1, 1): O: 1, (2, 0): O: 2}
_XXO___OX; O; {(0, 0): O: 6, (1, 1): O: 1, (1, 2): O: 2, (2, 0): O: 2}
_XX___OOX; O; {(1, 2): O: 1}
_X_O__XOX; O; {(0, 0): O: 6, (0, 2): O: 18, (1, 1): O: 15, (1, 2): O: 1}
_XOOOXXX_; O; {(2, 2): O: 11281}
_XXO_____; O; {(0, 0): O: 102, (1, 1): O: 1, (1, 2): O: 2, (2, 0): O: 16}
OXOX_X___; O; {(1, 1): O: 36, (2, 0): O: 1}
XX_O__XO_; O; {(0, 2): O: 79, (1, 1): O: 2}
XX__XO_O_; O; {(0, 2): O: 1, (1, 0): O: 2, (2, 0): O: 1, (2, 2): O: 2}
XX_O_XXOO; O; {(0, 2): O: 31}
X_XXOXO_O; O; {(0, 1): O: 49, (2, 1): O: 168}
XX__O__XO; O; {(0, 2): O: 281, (1, 0): O: 1, (1, 2): O: 1, (2, 0): O: 1}
_XXX_OO__; O; {(0, 0): O: 3456}
_XXOX_OOX; O; {(0, 0): O: 21}
X___OX_XO; O; {(0, 1): O: 9399, (0, 2): O: 10161}
_X_XO____; O; {(0, 0): O: 1132, (0, 2): O: 481, (1, 2): O: 1}
OX_O_XX__; O; {(0, 2): O: 1, (1, 1): O: 2, (2, 1): O: 2, (2, 2): O: 2}
XX_O_OXOX; O; {(0, 2): O: 2, (1, 1): O: 12}
_XXO_XO__; O; {(0, 0): O: 9, (1, 1): O: 1, (2, 1): O: 3, (2, 2): O: 6}
XX_OXO___; O; {(0, 2): O: 1}
XX_O_O__X; O; {(0, 2): O: 3, (1, 1): O: 21, (2, 0): O: 1, (2, 1): O: 2}
XX_X_O_O_; O; {(0, 2): O: 1, (1, 1): O: 1, (2, 2): O: 2}
_X_OXOXOX; O; {(0, 0): O: 3}
_X_O_OX_X; O; {(0, 0): O: 3, (1, 1): O: 9, (2, 1): O: 3}
