Overnight Menace 1: X
XO_OXX_O_; X; {(0, 2): X: 9, (2, 0): X: 15, (2, 2): X: 12}
_X_X_O_O_; X; {(0, 0): X: 247, (0, 2): X: 66, (1, 1): X: 2, (2, 2): X: 42}
OX_XXO_O_; X; {(0, 2): X: 8427, (2, 2): X: 25020}
XOX_X_O_O; X; {(1, 0): X: 5, (2, 1): X: 35}
OX__X___O; X; {(0, 2): X: 6, (1, 0): X: 9, (1, 2): X: 3, (2, 0): X: 6, (2, 1): X: 9}
XOOX_X_O_; X; {(1, 1): X: 270, (2, 0): X: 48}
OXOX__O_X; X; {(1, 1): X: 15, (1, 2): X: 2}
OXXOO_X__; X; {(1, 2): X: 3, (2, 1): X: 2, (2, 2): X: 3}
X_OOX__XO; X; {(0, 1): X: 30, (1, 2): X: 3, (2, 0): X: 4}
_O_XX_OXO; X; {(0, 0): X: 19, (0, 2): X: 11, (1, 2): X: 105}
OX_XO_OX_; X; {(1, 2): X: 1}
_OO_X__X_; X; {(0, 0): X: 18433, (1, 2): X: 2}
XO_XOO__X; X; {(2, 0): X: 210, (2, 1): X: 65}
XO_XOOOXX; X; {(0, 2): X: 508}
OX__XO___; X; {(0, 2): X: 143, (1, 0): X: 5, (2, 0): X: 22, (2, 1): X: 3, (2, 2): X: 56}
XXO_OX__O; X; {(2, 0): X: 14085}
X_OO_OXX_; X; {(0, 1): X: 2, (1, 1): X: 3, (2, 2): X: 33}
XX__OO___; X; {(0, 2): X: 108, (1, 0): X: 22, (2, 0): X: 2, (2, 1): X: 1, (2, 2): X: 1}
X_OX_O___; X; {(0, 1): X: 1, (1, 1): X: 2, (2, 0): X: 666, (2, 1): X: 3, (2, 2): X: 252}
XOOX_O_X_; X; {(1, 1): X: 1, (2, 0): X: 39, (2, 2): X: 9}
X_OX_O_OX; X; {(0, 1): X: 111, (1, 1): X: 24, (2, 0): X: 84}
X_OXO____; X; {(0, 1): X: 8, (1, 2): X: 3, (2, 0): X: 1032, (2, 1): X: 1}
XXO___XOO; X; {(1, 0): X: 48, (1, 1): X: 1, (1, 2): X: 14}
_OOXX____; X; {(0, 0): X: 2, (1, 2): X: 36, (2, 0): X: 3, (2, 1): X: 5, (2, 2): X: 3}
XXOXO__O_; X; {(1, 2): X: 4, (2, 0): X: 93, (2, 2): X: 2}
_X__X_O_O; X; {(0, 0): X: 9, (1, 0): X: 3, (2, 1): X: 6}
X_OXO__OX; X; {(2, 0): X: 114}
OXOX_____; X; {(1, 1): X: 55, (1, 2): X: 11, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 9}
OX_X__OOX; X; {(0, 2): X: 4, (1, 1): X: 5, (1, 2): X: 45}
X_OXX_OO_; X; {(1, 2): X: 240, (2, 2): X: 153}
XO_OX_XO_; X; {(0, 2): X: 6, (1, 2): X: 3}
XXO_O__OX; X; {(2, 0): X: 337414}
X_O_OXXO_; X; {(0, 1): X: 9, (1, 0): X: 51, (2, 2): X: 1}
_X_XOXO_O; X; {(0, 0): X: 1, (2, 1): X: 1}
_X_O__XO_; X; {(0, 0): X: 115, (0, 2): X: 126, (1, 1): X: 110, (1, 2): X: 147, (2, 2): X: 67}
_X_OOXXO_; X; {(0, 0): X: 20, (0, 2): X: 30}
XX_O__OXO; X; {(0, 2): X: 375, (1, 1): X: 15, (1, 2): X: 90}
X_O_XX_OO; X; {(0, 1): X: 1, (1, 0): X: 213, (2, 0): X: 70}
_X_OO_XXO; X; {(0, 0): X: 1, (0, 2): X: 2, (1, 2): X: 3}
