Gabe: O
OXXXOXXOOXOOXXOOXXXO_OOXO; X; {(4, 0): X: 4}
_______X_________________; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (1, 0): O: 3, (1, 1): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3, (3, 0): O: 4, (3, 1): O: 3, (3, 2): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3}
_______X__X____O_________; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 3): O: 3, (1, 4): O: 4, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3}
_______X_OXX___O_________; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 3): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 4, (4, 3): O: 3, (4, 4): O: 3}
______XX_OXX___O______O__; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (1, 0): O: 3, (1, 3): O: 4, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 3): O: 3, (4, 4): O: 3}
___X__XXOOXX___O______O__; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 4, (0, 4): O: 3, (1, 0): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 3): O: 3, (4, 4): O: 3}
__OX__XXOOXX___O_X____O__; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 4): O: 3, (1, 0): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (3, 1): O: 3, (3, 3): O: 3, (3, 4): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 3): O: 4, (4, 4): O: 3}
__OX__XXOOXX___O_X__X_OO_; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 4): O: 3, (1, 0): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (3, 1): O: 3, (3, 3): O: 3, (3, 4): O: 4, (4, 1): O: 3, (4, 4): O: 3}
__OXX_XXOOXX___O_X_OX_OO_; O; {(0, 0): O: 3, (0, 1): O: 3, (1, 0): O: 3, (2, 2): O: 3, (2, 3): O: 4, (2, 4): O: 3, (3, 1): O: 3, (3, 3): O: 3, (4, 1): O: 3, (4, 4): O: 3}
__OXX_XXOOXX_O_O_X_OXXOO_; O; {(0, 0): O: 4, (0, 1): O: 3, (1, 0): O: 3, (2, 2): O: 3, (2, 4): O: 3, (3, 1): O: 3, (3, 3): O: 3, (4, 4): O: 3}
O_OXX_XXOOXX_OXO_X_OXXOO_; O; {(0, 1): O: 3, (1, 0): O: 3, (2, 2): O: 3, (3, 1): O: 3, (3, 3): O: 4, (4, 4): O: 3}
O_OXXXXXOOXX_OXO_XOOXXOO_; O; {(0, 1): O: 4, (2, 2): O: 3, (3, 1): O: 3, (4, 4): O: 3}
OOOXXXXXOOXXXOXO_XOOXXOO_; O; {(3, 1): O: 4, (4, 4): O: 3}
_X_______________________; O; {(0, 0): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 4, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (3, 0): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3}
XX_______O_______________; O; {(0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 4, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (3, 0): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3}
XX__O____O_X_____________; O; {(0, 2): O: 3, (0, 3): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (2, 0): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (3, 0): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 4}
XX__O___XO_X____________O; O; {(0, 2): O: 3, (0, 3): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (2, 0): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (3, 0): O: 4, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3}
XX__O___XO_X__XO________O; O; {(0, 2): O: 3, (0, 3): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (2, 0): O: 3, (2, 2): O: 3, (2, 3): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 4, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3}
