Menace A: X
XX__XO_OO; X; {(1, 3): X: 6, (2, 1): X: 3, (3, 1): X: 3}
XOXOO_OXX; X; {(2, 3): X: 12}
OX_O__X__; X; {(1, 3): X: 2, (2, 2): X: 6, (2, 3): X: 3, (3, 2): X: 3, (3, 3): X: 3}
OXXX_OOXO; X; {(2, 2): X: 6}
_O_XX_XOO; X; {(1, 1): X: 3, (1, 3): X: 6, (2, 3): X: 6}
XO_XX_OO_; X; {(1, 3): X: 2, (2, 3): X: 6, (3, 3): X: 3}
XO_O_O_XX; X; {(1, 3): X: 9, (2, 2): X: 3, (3, 1): X: 3}
_O_XX_O__; X; {(1, 1): X: 6, (1, 3): X: 3, (2, 3): X: 6, (3, 2): X: 3, (3, 3): X: 3}
OXOOX_X__; X; {(2, 3): X: 6, (3, 2): X: 3, (3, 3): X: 3}
_XXO_O___; X; {(1, 1): X: 9, (2, 2): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3}
XOO_X_OX_; X; {(2, 1): X: 3, (2, 3): X: 6, (3, 3): X: 3}
XOOOXXOX_; X; {(3, 3): X: 9}
XX_O___O_; X; {(1, 3): X: 3, (2, 2): X: 3, (2, 3): X: 6, (3, 1): X: 3, (3, 3): X: 3}
OXOO__X_X; X; {(2, 2): X: 4, (2, 3): X: 3, (3, 2): X: 3}
OX__XOXO_; X; {(1, 3): X: 6, (2, 1): X: 3, (3, 3): X: 3}
XXOOO___X; X; {(2, 3): X: 3, (3, 1): X: 3, (3, 2): X: 3}
XOO_XXO__; X; {(2, 1): X: 3, (3, 2): X: 9, (3, 3): X: 3}
_OO_X_XOX; X; {(1, 1): X: 6, (2, 1): X: 3, (2, 3): X: 3}
OX_O_OX_X; X; {(1, 3): X: 3, (2, 2): X: 6, (3, 2): X: 3}
_XOO_XXO_; X; {(1, 1): X: 3, (2, 2): X: 4}
XX__OXO_O; X; {(1, 3): X: 3, (2, 1): X: 2, (3, 2): X: 3}
_XXO___O_; X; {(1, 1): X: 3, (2, 2): X: 3, (2, 3): X: 6, (3, 1): X: 3, (3, 3): X: 3}
OO__X_X__; X; {(1, 3): X: 3, (2, 1): X: 3, (2, 3): X: 3, (3, 2): X: 3, (3, 3): X: 6}
OO_OX_X_X; X; {(1, 3): X: 6, (2, 3): X: 3, (3, 2): X: 3}
OXO_____X; X; {(2, 1): X: 3, (2, 2): X: 6, (2, 3): X: 3, (3, 1): X: 3, (3, 2): X: 3}
OXOOX___X; X; {(2, 3): X: 3, (3, 1): X: 3, (3, 2): X: 6}
OXX_XOO__; X; {(2, 1): X: 3, (3, 2): X: 6, (3, 3): X: 3}
_OOXX_X_O; X; {(1, 1): X: 3, (2, 3): X: 6, (3, 2): X: 3}
