5x5 Menace 2: O
X_X_OX_OXO_XXOOXX_O_OOX__; O; {(1, 2): O: 3, (1, 4): O: 3, (2, 2): O: 4, (3, 1): O: 3, (4, 3): O: 3, (4, 5): O: 3, (5, 4): O: 3, (5, 5): O: 3}
X_XXOXOOXO_XXOOXX_O_OOX__; O; {(1, 2): O: 3, (3, 1): O: 3, (4, 3): O: 3, (4, 5): O: 3, (5, 4): O: 4, (5, 5): O: 3}
XXXXOXOOXO_XXOOXX_O_OOXO_; O; {(3, 1): O: 3, (4, 3): O: 4, (4, 5): O: 3, (5, 5): O: 3}
XXXXOXOOXO_XXOOXXOOXOOXO_; O; {(3, 1): O: 3, (5, 5): O: 4}
_X_______________________; O; {(1, 1): O: 3, (1, 3): O: 3, (1, 4): O: 2, (1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 4, (3, 4): O: 4, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 4}
_X__________O_______X____; O; {(1, 1): O: 3, (1, 3): O: 3, (1, 4): O: 4, (1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3}
_X_O_X______O_______X____; O; {(1, 1): O: 3, (1, 3): O: 3, (1, 5): O: 3, (2, 2): O: 3, (2, 3): O: 4, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3}
_X_O_XXO____O_______X____; O; {(1, 1): O: 3, (1, 3): O: 3, (1, 5): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 4, (5, 5): O: 3}
_X_O_XXO____O_______X__OX; O; {(1, 1): O: 3, (1, 3): O: 3, (1, 5): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 2): O: 4, (5, 3): O: 3}
_X_O_XXO____O____X__XO_OX; O; {(1, 1): O: 3, (1, 3): O: 3, (1, 5): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 4): O: 3, (3, 5): O: 4, (4, 1): O: 3, (4, 2): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 3): O: 3}
_X_O_XXO____OXO__X__XO_OX; O; {(1, 1): O: 3, (1, 3): O: 3, (1, 5): O: 3, (2, 4): O: 4, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 3): O: 3}
_X_O_XXOO___OXO__XX_XO_OX; O; {(1, 1): O: 3, (1, 3): O: 3, (1, 5): O: 4, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 5): O: 3, (5, 3): O: 3}
_X_OOXXOO___OXO__XX_XOXOX; O; {(1, 1): O: 3, (1, 3): O: 4, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 5): O: 3}
_XOOOXXOO___OXO_XXX_XOXOX; O; {(1, 1): O: 3, (2, 5): O: 3, (3, 1): O: 4, (3, 2): O: 3, (4, 1): O: 3, (4, 5): O: 3}
_XOOOXXOO_O_OXO_XXXXXOXOX; O; {(1, 1): O: 3, (2, 5): O: 3, (3, 2): O: 4, (4, 1): O: 3}
XXOOOXXOO_OOOXO_XXXXXOXOX; O; {(2, 5): O: 3, (4, 1): O: 4}
