Menace 2: O
XOOX_X_OX; O; {(2, 2): O: 6, (3, 1): O: 3}
XOXX_X_OO; O; {(2, 2): O: 12, (3, 1): O: 6}
XOXO_XX_O; O; {(2, 2): O: 28}
X_O_XXO__; O; {(2, 1): O: 1, (3, 2): O: 2, (3, 3): O: 4}
XO_XX__O_; O; {(1, 3): O: 2, (2, 3): O: 3, (3, 1): O: 3}
XOXXXO__O; O; {(3, 1): O: 7, (3, 2): O: 2}
X_OXX__O_; O; {(1, 2): O: 3, (2, 3): O: 2, (3, 1): O: 2, (3, 3): O: 3}
X_OX_O_X_; O; {(1, 2): O: 1, (2, 2): O: 1, (3, 1): O: 3, (3, 3): O: 3}
_XO_OXX__; O; {(1, 1): O: 15, (2, 1): O: 4}
_X_XOOX__; O; {(1, 1): O: 21, (3, 2): O: 8, (3, 3): O: 1}
XXOX__O__; O; {(2, 2): O: 6, (2, 3): O: 3, (3, 3): O: 9}
XOOX__OXX; O; {(2, 2): O: 6, (2, 3): O: 3}
X_OXXOOX_; O; {(1, 2): O: 2, (3, 3): O: 12}
XO__XO_X_; O; {(1, 3): O: 3, (2, 1): O: 3, (3, 1): O: 3, (3, 3): O: 6}
OXX__XXOO; O; {(2, 1): O: 2, (2, 2): O: 21}
_O_XX_O_X; O; {(1, 1): O: 2, (1, 3): O: 3, (2, 3): O: 1, (3, 2): O: 2}
X_OX__O_X; O; {(1, 2): O: 3, (2, 2): O: 12, (2, 3): O: 1, (3, 2): O: 13}
X_OX_XOOX; O; {(1, 2): O: 3, (2, 2): O: 18}
XOXO__XOX; O; {(2, 2): O: 3, (2, 3): O: 2}
_XX_OOXXO; O; {(1, 1): O: 3, (2, 1): O: 9}
OX_XX___O; O; {(1, 3): O: 3, (2, 3): O: 2}
XXOX_XOO_; O; {(2, 2): O: 3, (3, 3): O: 6}
X_O_____X; O; {(1, 2): O: 3, (2, 1): O: 2, (2, 2): O: 3, (3, 1): O: 7}
X_X__X_OO; O; {(1, 2): O: 6, (2, 1): O: 1, (2, 2): O: 3, (3, 1): O: 21}
X_O__XOX_; O; {(1, 2): O: 8, (2, 2): O: 3, (3, 3): O: 6}
X_O_O_X_X; O; {(1, 2): O: 2, (2, 1): O: 6}
